Year,org,trans
1904,1,0
1906,1,0
1907,1,0
1912,1,0
1914,1,0
1933,1,0
1934,1,0
1935,2,0
1937,2,1
1939,1,0
1943,2,0
1944,3,0
1945,1,0
1946,2,0
1947,1,0
