"","status_id"
"1","1195067131228049409"
"2","1195067121115549697"
"3","1195058724525821954"
"4","1195058402998865920"
"5","1195067097510006785"
"6","1195004051999666176"
"7","1195057400727973888"
"8","1195067093730942976"
"9","1195067085530943489"
"10","1195064974755807232"
"11","1195065599275044864"
"12","1194998234659180545"
"13","1195067070746001409"
"14","1195066127279247360"
"15","1195063689658826753"
"16","1195067070733402112"
"17","1195056580359680000"
"18","1194994548767907841"
"19","1195067055743098880"
"20","1195064622211977216"
"21","1195038066630479872"
"22","1195044416500551680"
"23","1195067044170887173"
"24","1195044938343276544"
"25","1195038599869190144"
"26","1195034818670579713"
"27","1195027449806897158"
"28","1195043243336990720"
"29","1195045464392945664"
"30","1195067042761560065"
"31","1195063278705115136"
"32","1195061263644028928"
"33","1195065011162382336"
"34","1195067042078085120"
"35","1195067032644907008"
"36","1195037779853336576"
"37","1195007160414920704"
"38","1195044012517756928"
"39","1195041574066851840"
"40","1195000777112051712"
"41","1194998081822973952"
"42","1195036928128602112"
"43","1195038979021651968"
"44","1195067021538422784"
"45","1195012116354404352"
"46","1195026977880772610"
"47","1195066988852330496"
"48","1195006148744810496"
"49","1195066984523657216"
"50","1195066976126697472"
"51","1194995800285294592"
"52","1195066973048262656"
"53","1195027028317294592"
"54","1194994404475494400"
"55","1195066968845570048"
"56","1194995640935309312"
"57","1195066641240903680"
"58","1195053540659453952"
"59","1195066965842259968"
"60","1195037443097079808"
"61","1195042404329512966"
"62","1195066955901915137"
"63","1195066942094106625"
"64","1195066938281644032"
"65","1195065669282197504"
"66","1195066936952074240"
"67","1195066930329112577"
"68","1195066926319443969"
"69","1195066918136246273"
"70","1195064912843689984"
"71","1195012726021472256"
"72","1195066906824232960"
"73","1195066898506891265"
"74","1195065390977572864"
"75","1195026651765075968"
"76","1195063577666715648"
"77","1195065905950052352"
"78","1195035943008374791"
"79","1195066898272202753"
"80","1195028806827958274"
"81","1195000454624755712"
"82","1194974772830068736"
"83","1194994414189531144"
"84","1195014042718474240"
"85","1195040467810996230"
"86","1195032345197371392"
"87","1194987611942793216"
"88","1195001189630455811"
"89","1194982064082153472"
"90","1195032923453476864"
"91","1195011775877582848"
"92","1195063106906533889"
"93","1194983091355430912"
"94","1194997437024350209"
"95","1194985349702963200"
"96","1195048028828241920"
"97","1195001978025381889"
"98","1195047262377979904"
"99","1195031388342210560"
"100","1195026879784345609"
"101","1195006453943357441"
"102","1195023108224274433"
"103","1194995924428369920"
"104","1195003484741021697"
"105","1195060859799773189"
"106","1195009511620304904"
"107","1194993639837044736"
"108","1195062378938933248"
"109","1195036701447602189"
